Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
AD3,Bauhaus,Dark Entries,4AD,"7"", Single, Blu",,1980,401351,Goth-Rock,2015-10-21 23:59:00,Near Mint (NM or M-),Very Good Plus (VG+),
CAD 411,This Mortal Coil,It'll End In Tears,4AD,"LP, Album",,1984,194107,Ethereal,2015-10-06 01:53:11,Near Mint (NM or M-),Near Mint (NM or M-),
CAD 514,The Wolfgang Press,The Legendary Wolfgang Press And Other Tall Stories,4AD,"LP, Comp",,1985,463281,New Wave,2015-10-06 01:04:08,Near Mint (NM or M-),Near Mint (NM or M-),
CAD 705,Dead Can Dance,Within The Realm Of A Dying Sun,4AD,"LP, Album",,1987,138272,Ethereal,2015-09-22 08:01:31,Near Mint (NM or M-),Near Mint (NM or M-),
JAD 911,Lush,Scar,4AD,"LP, MiniAlbum",,1989,313920,Alternative Rock,2015-10-20 08:54:30,Near Mint (NM or M-),Near Mint (NM or M-),
"CAD 606, CAD606",The Wolfgang Press,Standing Up Straight,"4AD, 4AD","LP, Album",,1986,463285,New Wave,2015-09-20 08:47:14,Near Mint (NM or M-),Near Mint (NM or M-),"Issued with a printed inner sleeve and a 12"" square, 10 page, accordion folded lyric insert."
069 490 563-2,Peter Frampton,Frampton Comes Alive!  25th Anniversary Deluxe Edition,A&M Records,"2xCD, Album, Dlx, RE, RM",,2001,2599157,Rock,2015-03-03 04:37:16,Near Mint (NM or M-),Near Mint (NM or M-),
493 113-2,T. Rex,Electric Warrior,A&M Records,"CD, Album, RE, RM",,2001,1022044,Hard Rock,2015-03-04 02:22:08,Near Mint (NM or M-),Near Mint (NM or M-),
AMS 9259,Joan Armatrading,Drop The Pilot,A&M Records,"7""",,1983,3763009,Pop-Rock,2015-03-17 04:17:57,Mint (M),Mint (M),
SLAM 68078,Strawbs,Grave New World,A&M Records,"LP, Album, Tri",,1972,4820206,Indie Rock,2015-10-06 03:21:36,Near Mint (NM or M-),Near Mint (NM or M-),
SP-4595,Hummingbird,We Can't Go On Meeting Like This,A&M Records,"LP, Album",,1976,1839556,Jazz-Rock,2015-10-14 02:22:09,Near Mint (NM or M-),Near Mint (NM or M-),
SP4269,Fotheringay,Fotheringay,A&M Records,LP,,0,7495507,Folk-Rock,2015-09-21 09:08:56,Near Mint (NM or M-),Near Mint (NM or M-),
DSX 50110,Steppenwolf,For Ladies Only,ABC/Dunhill Records,"LP, Album, Gat",,1971,1643379,Hard Rock,2015-10-14 03:52:01,Very Good Plus (VG+),Very Good Plus (VG+),
AHS 10015,Lyres,Lyres Lyres,Ace Of Hearts Records,"LP, Album",,1986,1218198,Garage-Punk,2015-09-28 09:24:51,Near Mint (NM or M-),Near Mint (NM or M-),
VIRUS 14,Various,Not So Quiet On The Western Front,Alternative Tentacles,"2xLP, Comp",,1982,582320,"Hard Core, Punk",2015-10-07 07:11:41,Very Good Plus (VG+),Very Good Plus (VG+),
VIRUS 87,Tumor Circus,Tumor Circus,Alternative Tentacles,"LP, Album",,1991,2326410,Punk,2015-10-05 09:13:20,Near Mint (NM or M-),Near Mint (NM or M-),
AL 001,Poison Idea,Darby Crash Rides Again,American Leather Records,"7"", 3rd",,1989,461915,"Hard Core, Punk",2015-10-22 01:44:20,Near Mint (NM or M-),Near Mint (NM or M-),
8 55 873,Alexis Korner,Alexis Korner And Friends,AMIGA,"LP, Comp",,1982,605300,bLUES,2015-10-13 08:40:59,Near Mint (NM or M-),Very Good Plus (VG+),
EFA 08335-1,Cows,Orphan's Tragedy,Amphetamine Reptile Records,LP,,1994,1234608,Alternative Rock,2015-09-29 08:47:13,Near Mint (NM or M-),Near Mint (NM or M-),
"3 C 064-04002, 3C 064 - 04002",The Beatles,Yellow Submarine,"Apple Records, Apple Records","LP, Album, RE, RP",,1982,7187711,Rock,2015-10-14 04:52:50,Very Good Plus (VG+),Very Good Plus (VG+),
"0777 7 97039 2 0, CDPCSP 718, CDS 7 97039 2",The Beatles,1967-1970,"Apple Records, Apple Records, Apple Records","2xCD, Comp, RM",,1993,418061,Rock,2015-03-04 00:49:46,Near Mint (NM or M-),Near Mint (NM or M-),
AP021,The Last Killers,3 Bombs Over Berlin,Area Pirata,"CD, Album, Dig",,2008,4379956,Funk-Soul,2015-03-06 00:13:14,Near Mint (NM or M-),Near Mint (NM or M-),
74321 30526 2,Eric Burdon & War,Eric Burdon Declares “War”,"ARG Records, BMG","CD, Album, RE, RM",,0,1051372,Rock,2015-03-04 00:59:57,Near Mint (NM or M-),Near Mint (NM or M-),
ARLP 2001,Riz Ortolani,Africa Addio,Ariete,LP,,1966,1657470,soundtrack,2015-04-16 02:07:19,Very Good Plus (VG+),Very Good (VG),
ARL 37109,Amanda Lear,No Regrets,Ariola,"7""",,1983,1633232,Pop,2015-04-17 04:07:35,Near Mint (NM or M-),Near Mint (NM or M-),
FARN 91043,Coaty De Oliveira,The Brazilian Forro,Arion,"LP, Album",,1976,5906162,World music,2015-09-16 05:50:34,Mint (M),Mint (M),SEALED
LA 1001,Daniela Davoli,Mia,Aris (2),LP,,1978,5433157,Pop,2015-04-15 06:13:01,Very Good Plus (VG+),Very Good Plus (VG+),
AR/00941,"Orchestra Spettacolo Raoul Casadei, Hans Müller (3)",Calcio Di Rigore,Ariston,"7""",,1982,3667216,Pop,2015-04-17 04:35:45,Near Mint (NM or M-),Near Mint (NM or M-),
ARM/42012,Black Sabbath,Paranoid,Ariston Music,"LP, Album, RE, Gat",,1981,1210517,Hard Rock,2015-09-29 09:57:01,Near Mint (NM or M-),Near Mint (NM or M-),
HP-02,Milva,Milva,Armando Curcio Editore,"LP, Comp, Gat",,1982,3158492,Pop,2015-04-14 04:43:27,Near Mint (NM or M-),Near Mint (NM or M-),
HP-03,Peppino Di Capri,Peppino Di Capri,Armando Curcio Editore,"LP, Comp, G/F",,1982,6700177,Pop,2015-04-14 04:38:04,Near Mint (NM or M-),Near Mint (NM or M-),
SU-1013,Luigi Tenco,Le Canzoni Di Luigi Tenco,Armando Curcio Editore,"LP, Comp",,1982,6129636,Pop,2015-04-14 06:55:32,Near Mint (NM or M-),Near Mint (NM or M-),
W 53014,Eagles,One Of These Nights,Asylum Records,"LP, Album",,1975,2482688,Rock,2015-09-08 07:18:30,Near Mint (NM or M-),Near Mint (NM or M-),
79-0063-1,Pete Townshend,Scoop,ATCO Records,"2xLP, Album",,1983,2371920,Rock,2015-10-06 07:48:05,Near Mint (NM or M-),Near Mint (NM or M-),
A1 90539,Pete Townshend,Another Scoop,ATCO Records,"2xLP, Album, Comp",,1987,2629071,Rock,2015-10-07 02:55:46,Near Mint (NM or M-),Near Mint (NM or M-),
SD 33-248,Otis Redding,The Great Otis Redding Sings Soul Ballads,Atco Records,"LP, Album",,0,1796301,Funk-Soul,2015-09-09 06:01:27,Near Mint (NM or M-),Near Mint (NM or M-),
7567-89999-1,Foreigner,The Very Best And Beyond,Atlantic,"LP, Comp",,1992,3603168,Rock,2015-09-07 09:44:21,Near Mint (NM or M-),Near Mint (NM or M-),
786 913-0,Foreigner,I Want To Know What Love Is (Extended Version),Atlantic,"12"", Maxi",,1984,3756392,Rock,2015-04-17 04:21:37,Near Mint (NM or M-),Near Mint (NM or M-),
ATS-ST 06010,Percy Sledge,Take Time To Know Her,Atlantic,"LP, Album",,1968,3781673,Funk-Soul,2015-10-14 00:57:34,Near Mint (NM or M-),Near Mint (NM or M-),
SD 19113,Small Faces,Playmates,Atlantic,"LP, Album",,1977,1845449,Rock,2015-10-13 23:06:17,Near Mint (NM or M-),Near Mint (NM or M-),
SD 8125,Percy Sledge,When A Man Loves A Woman,Atlantic,"LP, Album",,1966,1874508,Funk-Soul,2015-10-12 09:17:44,Very Good Plus (VG+),Very Good Plus (VG+),
SD-3270,Wilson Pickett,In Philadelphia,Atlantic,"LP, Album",,0,6406662,Funk-Soul,2015-10-12 07:37:59,Very Good Plus (VG+),Very Good Plus (VG+),
W 40033,"Crosby, Stills & Nash","Crosby, Stills & Nash",Atlantic,"LP, Album, Gat",,1976,2736238,Rock,2015-09-07 01:32:20,Near Mint (NM or M-),Near Mint (NM or M-),GREAT COPY
R2 71043,War,The World Is A Ghetto,Avenue Records,"CD, Album, RM",,1992,2634795,Funk-Soul,2015-03-04 00:46:40,Near Mint (NM or M-),Near Mint (NM or M-),
KIRI 048,United States Of Existence,Introducing,Bam-Caruso Records,"LP, Album",,1986,3589819,Garage-Punk,2015-10-06 09:41:31,Near Mint (NM or M-),Near Mint (NM or M-),
CLN110,Electric Peace,Medieval Mosquito,Barred Records,"LP, Album",,1987,2811580,Rock,2015-09-22 08:27:40,Near Mint (NM or M-),Near Mint (NM or M-),
CLN111,Electric Peace,Insecticide,Barred Records,"LP, Album",,1988,2811632,Rock,2015-09-22 08:31:41,Near Mint (NM or M-),Near Mint (NM or M-),
FACT. 50,New Order,Movement,"Base Record, Factory","LP, Album, RE, Blu",,0,4987194,New Wave,2015-09-21 05:33:42,Near Mint (NM or M-),Near Mint (NM or M-),
BEG 37,Bauhaus,Dark Entries,Beggars Banquet,"7"", Single, RE, Red",,1980,1654329,New Wave,2015-10-21 10:12:51,Near Mint (NM or M-),Very Good Plus (VG+),
BEGA112,David J,Songs From Another Season,Beggars Banquet,"LP, Album",,1990,1137794,Alternative Rock,2015-10-20 02:42:57,Near Mint (NM or M-),Near Mint (NM or M-),
BH 1,Bauhaus,Satori In Paris,Beggars Banquet,"7"", Single",,1982,557935,New Wave,2015-10-22 08:43:32,Near Mint (NM or M-),Near Mint (NM or M-),
CDBBR 0015,Evelyn King,Smooth Talk,Big Break Records,"CD, Album, RE, RM",,2010,2467866,Funk-Soul,2015-03-03 04:57:37,Near Mint (NM or M-),Near Mint (NM or M-),
CDBBR 0016,A Taste Of Honey,A Taste Of Honey,Big Break Records,"CD, Album, RE, RM",,2010,2524607,Funk-Soul,2015-03-04 00:37:15,Near Mint (NM or M-),Near Mint (NM or M-),
CDBBR 0184,Billy Paul,War Of The Gods,Big Break Records,"CD, Album, RE",,2012,5214569,Funk-Soul,2015-03-04 00:41:28,Near Mint (NM or M-),Near Mint (NM or M-),
ABB65,Shudder To Think,Pony Express Record,Big Cat,"LP, Album",,1994,2653344,Indie Rock,2015-10-16 01:14:16,Near Mint (NM or M-),Near Mint (NM or M-),
BTA 010 UK,Exploding White Mice,In A Nest Of Vipers,Big Time,LP,,1985,1666878,Punk,2015-09-28 08:22:43,Near Mint (NM or M-),Near Mint (NM or M-),
BFFP14,Big Black,Heartbeat,Blast First,"7"", Single",,1987,741910,Alternative Rock,2015-10-22 08:17:51,Near Mint (NM or M-),Very Good Plus (VG+),
BU 0054,Loui$,Computer Soul,Blow Up Disco,"12""",,1986,404789,Italodisco,2015-09-08 08:29:52,Near Mint (NM or M-),Near Mint (NM or M-),
BLU BUS 01,Kina (4),Irreale Realtà,Blu Bus,"LP, Album, RP",,0,2005112,Punk,2015-10-16 07:17:16,Near Mint (NM or M-),Near Mint (NM or M-),
7243 5 25114 2 6,St Germain,Tourist,Blue Note,"CD, Album, Dig",,2000,1226,Acid Jazz,2015-03-04 04:24:25,Near Mint (NM or M-),Near Mint (NM or M-),
CDSKY 32357,Muddy Waters,Hard Again,Blue Sky,"CD, Album, RE",,1990,2687429,Rock,2015-03-04 00:20:11,Near Mint (NM or M-),Near Mint (NM or M-),
BTS 32,Mark-Almond,Mark-Almond II,Blue Thumb Records,"LP, Album",,1971,1670557,Jazz-Rock,2015-10-12 09:27:24,Near Mint (NM or M-),Near Mint (NM or M-),
"BTS-27, BTS 27",Mark-Almond,Mark-Almond,"Blue Thumb Records, Blue Thumb Records","LP, Album",,1971,7403572,Jazz-Rock,2015-10-12 10:29:37,Near Mint (NM or M-),Near Mint (NM or M-),
74321 86227 2,Almamegretta,Imaginaria,BMG Ricordi S.p.A.,"CD, Album",,2001,526060,World music,2015-03-04 04:38:44,Near Mint (NM or M-),Near Mint (NM or M-),
BOMB 104.5,The Yardbirds,Shapes Of Things,Bomb Records (2),"2xLP, Comp, Gat",,1978,733540,bLUES,2015-10-13 13:10:07,Near Mint (NM or M-),Very Good (VG),
0080.048,Klaus Schulze,...Live...,Brain,"2xLP, Album",,1980,61123,Ambient,2015-10-16 02:15:31,Near Mint (NM or M-),Near Mint (NM or M-),
Envy 1,New Math,Gardens,Brain Eater,"LP, Album",,1984,1607363,New Wave,2015-10-16 03:18:44,Near Mint (NM or M-),Near Mint (NM or M-),
BROL 34531,Motörhead,Ace Of Spades,Bronze,"LP, Album",,1980,488472,Heavy Metal,2015-10-06 01:43:28,Near Mint (NM or M-),Near Mint (NM or M-),
BROL 34532,Angel Witch,Angel Witch,Bronze,"LP, Album",,1980,4621237,Heavy Metal,2015-09-28 10:37:01,Near Mint (NM or M-),Near Mint (NM or M-),
CM 7452,Alain Delon / Shirley Bassey,Thought I'd Ring You,CAM,"7""",,1983,4207617,Pop,2015-04-17 04:11:54,Near Mint (NM or M-),Near Mint (NM or M-),
7243 5 26266 2 5,The Beach Boys,Pet Sounds,Capitol Records,"HDCD, Album, Mono, RM",,2001,619423,Rock,2015-03-04 04:05:43,Near Mint (NM or M-),Near Mint (NM or M-),
"2S 068-85.444, 2S 068-85444",Kraftwerk,The Man•Machine,"Capitol Records, Capitol Records","LP, Album",,1978,337966,Electronic,2015-09-09 14:09:23,Very Good Plus (VG+),Very Good Plus (VG+),
CA. LP 5064,"Lipps, Inc.",Pucker Up,Casablanca,"LP, Album",,1980,1252719,Funk-Soul,2015-09-08 08:11:36,Near Mint (NM or M-),Very Good Plus (VG+),
CLALP 122,Colosseum,Colosseum Live,Castle Classics,"2xLP, Album, RE, Gat",,1987,2495721,Prog-Rock,2015-10-14 01:23:03,Near Mint (NM or M-),Near Mint (NM or M-),
31811,Chicken Shack,In The Can,CBS,"LP, Comp",,1980,2981697,bLUES,2015-10-14 02:36:24,Near Mint (NM or M-),Very Good (VG),
460156 1,Sarah Vaughan & Milton Nascimento,Brazilian Romance,CBS,"LP, Album",,1987,3137105,Funk-Soul,2015-06-21 03:16:44,Near Mint (NM or M-),Near Mint (NM or M-),
52037,Lionel Hampton,All'Olympia,CBS,LP,,1967,5005658,Jazz,2015-09-08 12:26:32,Near Mint (NM or M-),Near Mint (NM or M-),
CBS 25100,Bruce Springsteen,Nebraska,CBS,"LP, Album",,1982,3004630,Rock,2015-09-20 05:38:27,Near Mint (NM or M-),Near Mint (NM or M-),
CBS 32526,Herbie Hancock,The Best Of Herbie Hancock,CBS,"LP, Comp, RE",,0,635655,Funk-Soul,2015-09-07 23:50:17,Near Mint (NM or M-),Near Mint (NM or M-),
CBS 85909,The Psychedelic Furs,Forever Now,CBS,"LP, Album",,1982,1179458,New Wave,2015-09-21 04:23:03,Near Mint (NM or M-),Near Mint (NM or M-),came with a coloured fold-out poster
CBS A 6438,Eleonora Brigliadori,Balla Il Tip Tap,CBS,"7""",,1985,3700121,Pop,2015-04-17 04:53:14,Near Mint (NM or M-),Near Mint (NM or M-),
EPC A 6035,José Luis Rodríguez,C'Est Venise / Ero Te,CBS,"7""",,1985,3130727,Pop,2015-04-17 05:09:20,Near Mint (NM or M-),Near Mint (NM or M-),
mono 62022,Bob Dylan,Bob Dylan,CBS,"LP, Album, Mono, RP",,1966,4101772,Folk-Rock,2015-09-07 06:22:08,Near Mint (NM or M-),Very Good Plus (VG+),
" 65659, S 65659","Mike Bloomfield, John Paul Hammond, Dr. John",Triumvirate,"CBS, CBS","LP, Album",,1973,4099891,bLUES,2015-10-14 01:19:49,Very Good Plus (VG+),Very Good Plus (VG+),
"CBS 32681, 32681",Santana,Zebop!,"CBS, CBS","LP, Album, RE",,1986,2458379,Rock,2015-09-08 02:47:42,Mint (M),Mint (M),UNPLAYED COPY
"S 65532, 65532",Weather Report,Sweetnighter,"CBS, CBS","LP, Album",,1973,2189861,Jazz,2015-10-14 04:16:14,Very Good Plus (VG+),Very Good Plus (VG+),
CEL 2-6566,Rosa Yemen,Rosa Yemen,Celluloid,"12"", EP",,1979,400069,Industrial,2015-10-06 00:26:18,Near Mint (NM or M-),Near Mint (NM or M-),
DPU 55,Jimi Hendrix,Experience / More Experience,Cetra,"2xLP, Comp",,1976,2450458,Rock,2015-10-16 08:02:28,Near Mint (NM or M-),Near Mint (NM or M-),
LPB 35007,Fred Buscaglione,16 Successi Di Fred Buscaglione,Cetra,"LP, Comp, Mono",,1960,2255130,POP ITALIANO,2015-09-09 02:26:04,Very Good Plus (VG+),Very Good (VG),
CGD 10551,Fabio Testi,Palma De Majorca,CGD,"7""",,1984,929829,Pop,2015-04-17 05:30:02,Near Mint (NM or M-),Near Mint (NM or M-),
CGD 10622,On Air (2),Movies,CGD,"7""",,1985,2483884,Pop,2015-04-17 03:42:22,Near Mint (NM or M-),Near Mint (NM or M-),
CGD 20467,Rettore,Danceteria,CGD,"LP, Album",,1985,1145097,Pop,2015-04-14 04:23:16,Near Mint (NM or M-),Near Mint (NM or M-),
CGD 20750,Matia Bazar,Matia Bazar,CGD,"LP, Comp",,1988,984300,POP ITALIANO,2015-09-09 13:50:40,Near Mint (NM or M-),Near Mint (NM or M-),
TAORL 38527,Mina (3),Meravigliosamente... Vol.1,CGO Record,"LP, Comp",,0,6050565,POP ITALIANO,2015-09-08 10:44:20,,,
CHAP 3,Balaam And The Angel,Day And Night,Chapter 22,"12""",,1985,725860,Goth-Rock,2015-09-28 07:06:28,Near Mint (NM or M-),Near Mint (NM or M-),
6369 901,Van Der Graaf Generator,The Least We Can Do Is Wave To Each Other,Charisma,"LP, Album, RP",,1972,1999369,Prog-Rock,2015-10-06 10:31:31,Near Mint (NM or M-),Near Mint (NM or M-),
6369 974 A,Genesis,A Trick Of The Tail,Charisma,"LP, Album, Tex",,1976,5826503,Uncategorized,2015-09-13 03:43:16,Near Mint (NM or M-),Near Mint (NM or M-),
6393 901 L,Van Der Graaf Generator,'68 - '71,Charisma,"LP, Comp",,1972,2308787,Prog-Rock,2015-10-06 09:58:16,Near Mint (NM or M-),Near Mint (NM or M-),
CAS 1083,Peter Hammill,The Silent Corner And The Empty Stage,Charisma,"LP, Album, RE",,1977,5249111,Prog-Rock,2015-10-14 05:35:33,Very Good Plus (VG+),Very Good Plus (VG+),
CFM/40015,The Yardbirds,The Single Hits,Charly Records,"10"", Album, Comp",,1982,4317554,Rock,2015-09-07 07:29:12,Near Mint (NM or M-),Very Good Plus (VG+),
SNAP 254 CD,Curtis Mayfield,Back To The World,Charly Records,"CD, Album, RE",,2006,4210429,Funk-Soul,2015-03-03 04:56:36,Near Mint (NM or M-),Near Mint (NM or M-),
B red 14,Second Layer,World Of Rubber,Cherry Red,"LP, Album",,1981,100166,Industrial,2015-10-05 08:02:27,Near Mint (NM or M-),Near Mint (NM or M-),
M RED 25,Felt,Crumbling The Antiseptic Beauty,Cherry Red,"LP, Album, Fir",,1982,5300245,Alternative Rock,2015-09-23 01:13:05,Near Mint (NM or M-),Near Mint (NM or M-),
7243 8 34806 2 3,Guru,Jazzmatazz Volume II: The New Reality,Chrysalis,"CD, Album",,1995,68100,Funk-Soul,2015-03-05 23:58:11,Near Mint (NM or M-),Near Mint (NM or M-),
CHR 1048 L,Bedlam (9),Bedlam,Chrysalis,"LP, Album",,1973,5398351,Hard Rock,2015-09-09 02:21:04,Very Good Plus (VG+),Very Good Plus (VG+),
"040 1060 L, CHR 1060",Ten Years After,Positive Vibrations,"Chrysalis, Chrysalis","LP, Album",,1974,6096296,bLUES,2015-10-13 13:21:18,Very Good Plus (VG+),Very Good Plus (VG+),
"0946 3 21998 2 9, CTCD 34",Guru,Jazzmatazz Volume: 1,"Chrysalis, Chrysalis","CD, Album",,1993,1048628,Funk-Soul,2015-03-06 00:02:19,Near Mint (NM or M-),Near Mint (NM or M-),
"CTY 21001, CTY 21002",Jethro Tull,Living In The Past,"Chrysalis, Chrysalis","2xLP, Comp",,1972,2973397,Rock,2015-09-29 00:03:27,Near Mint (NM or M-),Very Good Plus (VG+),
CHLP 1003,Nora Orlandi,Lo Strano Vizio Della Signora Wardh,"Cinedelic Records, Hexacord","LP, Album, Ltd",,2001,1707231,soundtrack,2015-10-15 03:08:11,Near Mint (NM or M-),Near Mint (NM or M-),
CIT 026,The Moffs,Flowers,Citadel (7),"7"", Single",,1986,1316942,Alternative Rock,2015-10-22 00:08:37,Near Mint (NM or M-),Near Mint (NM or M-),
"CIT031, Cit 031",The New Christs,The Black Hole,"Citadel (7), Citadel (7)","7"", Single",,1987,1867459,Garage-Punk,2015-10-22 08:26:58,Mint (M),Near Mint (NM or M-),
CLAY LP 12,Discharge,Never Again,Clay Records,"LP, Comp",,1984,437920,"Hard Core, Punk",2015-09-22 07:49:43,Near Mint (NM or M-),Near Mint (NM or M-),
CLAY LP 3,Discharge,Hear Nothing See Nothing Say Nothing,Clay Records,"LP, Album, Gat",,1982,381756,"Hard Core, Punk",2015-09-22 07:42:30,Near Mint (NM or M-),Near Mint (NM or M-),TOP CONDITIONS
CL 0017,The Pandoras,It's About Time,Closer Records,"LP, Album",,1984,2606059,Garage-Punk,2015-09-29 03:36:16,Near Mint (NM or M-),Near Mint (NM or M-),
csr193lp,Coil / Nine Inch Nails,Recoiled,Cold Spring,"LP, Comp, RM",,2014,5349443,Industrial,2015-09-20 07:12:09,Mint (M),Mint (M),SEALED
468946 1,The Clash,The Singles,Columbia,"LP, Comp",,1991,1364132,Punk,2015-10-14 04:46:40,Very Good Plus (VG+),Very Good Plus (VG+),
COL 471423 1,Bruce Springsteen,Human Touch,Columbia,"LP, Album",,1992,2434423,Rock,2015-09-08 13:34:33,Near Mint (NM or M-),Near Mint (NM or M-),
CS 9579,Taj Mahal,Taj Mahal,Columbia,"LP, Album, RE",,0,2968785,bLUES,2015-10-13 23:17:43,Near Mint (NM or M-),Near Mint (NM or M-),
"COL 463369 2, 463369 2",Bob Dylan,Blonde On Blonde,"Columbia, Columbia","CD, Album, RE",,0,392512,Rock,2015-03-04 04:07:41,Near Mint (NM or M-),Near Mint (NM or M-),
88697680571,Miles Davis,Kind Of Blue,"Columbia, Legacy","LP, Album, RE, 180",,2010,2825456,Jazz,2015-09-12 00:53:05,Mint (M),Mint (M),SEALED 180 gr.
TTC 8670,Kilkenny Cats,Hands Down,Coyote Records,"LP, Album",,1986,2360330,Alternative Rock,2015-10-20 10:33:30,Near Mint (NM or M-),Near Mint (NM or M-),
