Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
RKL 20323,Rockets,Atomic,Rockland Records,"LP, Album",,1982,525460,Italodisco,2015-09-09 00:06:19,Near Mint (NM or M-),Very Good Plus (VG+),COVER EX GREAT COPY
ROUGH 1,Stiff Little Fingers,Inflammable Material,Rough Trade,"LP, Album",,1979,868401,Punk,2015-10-06 03:09:45,Near Mint (NM or M-),Near Mint (NM or M-),
ROUGH 26,This Heat,Deceit,Rough Trade,"LP, Album",,1981,383526,Alternative Rock,2015-10-06 09:54:17,Near Mint (NM or M-),Near Mint (NM or M-),
RTT 180,The Feelies,No One Knows,Rough Trade,"12"", EP",,1986,1200030,Indie Rock,2015-09-23 00:59:58,Near Mint (NM or M-),Near Mint (NM or M-),
1565096,Mike Mareen,Here I Am ( Remix ),Savoir Faire Records,"12"", Maxi",,1986,844466,Italodisco,2015-09-11 01:57:29,Near Mint (NM or M-),Near Mint (NM or M-),
SEC 4,4 Skins,"The Good, The Bad & The 4 Skins",Secret Records (8),"LP, Album",,1982,403850,Punk,2015-09-22 01:20:13,Near Mint (NM or M-),Near Mint (NM or M-),
CM 103,The Pretty Things,The Pretty Things 1967-1971,See For Miles Records Ltd.,"LP, Comp",,1982,3800060,Rock,2015-10-13 23:12:38,Near Mint (NM or M-),Near Mint (NM or M-),
CM 109,Simon Dupree And The Big Sound,Kites,See For Miles Records Ltd.,"LP, Comp",,1982,3143019,Rock,2015-10-14 05:14:06,Near Mint (NM or M-),Near Mint (NM or M-),
SEE 200,Family (6),Family Entertainment,See For Miles Records Ltd.,"LP, RE",,1987,1899276,Prog-Rock,2015-10-13 09:15:34,Near Mint (NM or M-),Near Mint (NM or M-),
"CM 105, CM105",Manfred Mann,The R & B Years,"See For Miles Records Ltd., Charly Records","LP, Comp, Mono",,1982,1833092,bLUES,2015-10-13 10:49:43,Very Good Plus (VG+),Very Good Plus (VG+),
NEM CD 964,Curtis Mayfield,Superfly / Short Eyes,Sequel Records,"2xCD, Comp, RM",,1998,509044,Funk-Soul,2015-03-04 00:42:31,Near Mint (NM or M-),Near Mint (NM or M-),
SR-2110,Mary McCreary,Jezebel,Shelter Recording Company Inc.,LP,,1974,1057825,Funk-Soul,2015-09-07 23:38:04,Mint (M),Mint (M),
DK 30532,Johnny Guitar Watson,Ain't That A Bitch,Shout! Factory,"CD, Album, RE, RM",,2005,3982275,Funk-Soul,2015-03-03 04:54:43,Near Mint (NM or M-),Near Mint (NM or M-),
"WX 246, 925 829-1",Lou Reed,New York,"Sire, Sire","LP, Album",,1989,605068,Rock,2015-09-29 02:16:22,Near Mint (NM or M-),Near Mint (NM or M-),
"9 26140-1, 1-26140",Lou Reed / John Cale,Songs For Drella,"Sire, Sire, Warner Bros. Records, Warner Bros. Records","LP, Album",,1990,2698870,Rock,2015-09-29 02:48:17,Near Mint (NM or M-),Near Mint (NM or M-),
7599 26140-2,Lou Reed / John Cale,Songs For Drella,"Sire, Warner Bros. Records","CD, Album",,0,1498982,Rock,2015-03-04 04:03:36,Near Mint (NM or M-),Near Mint (NM or M-),
8280061,Violent Femmes,The Blind Leading The Naked,Slash,LP,,1986,3232048,Alternative Rock,2015-10-07 06:56:45,Near Mint (NM or M-),Near Mint (NM or M-),
SOC 77,The Danse Society,2000 Light Years From Home,"Society Records, Arista","2x7"", Single, Ltd",,1984,5401446,New Wave,2015-10-22 09:32:02,Very Good Plus (VG+),Very Good Plus (VG+),
"DOOMED 2, DOOMED TWO",Crime (2),San Francisco's Doomed,"Solar Lodge Records, Solar Lodge Records","LP, Comp, Ltd",,1990,985640,Punk,2015-09-19 07:09:34,Near Mint (NM or M-),Near Mint (NM or M-),
BART 333,Einstürzende Neubauten,Haus Der Luege,Some Bizzare,"LP, Album",,1989,216722,Industrial,2015-10-15 05:58:28,Near Mint (NM or M-),Near Mint (NM or M-),
SNTF 783,Canned Heat,Human Condition,Sonet,"LP, Album",,1978,2322561,bLUES,2015-10-14 03:56:02,Near Mint (NM or M-),Near Mint (NM or M-),
88697131642,Fiorella Mannoia,Onda Tropicale,Sony BMG Music Entertainment,"CD, Album",,2007,4405384,Pop,2015-03-04 04:20:09,Near Mint (NM or M-),Near Mint (NM or M-),
"474069 2, 01-474069-10",Jamiroquai,Emergency On Planet Earth,"Sony Soho Square, Sony Soho Square","CD, Album, RE",,0,21972,Funk-Soul,2015-03-04 00:57:39,Near Mint (NM or M-),Near Mint (NM or M-),
CD SBCS 1,Hot Chocolate (3),Hot Chocolate,Soul Brother Records (3),"CD, Album, RE",,1999,1839590,Funk-Soul,2015-03-03 04:55:33,Near Mint (NM or M-),Near Mint (NM or M-),
CD SBCS 54,Bobby Lyle,The Genie,Soul Brother Records (3),"CD, Album, RE",,2012,3857395,Funk-Soul,2015-03-03 04:52:27,Near Mint (NM or M-),Near Mint (NM or M-),
CD SBPJ 42,Norman Connors,You Are My Starship / Romantic Journey,Soul Brother Records (3),"CD, Comp, RE",,2010,2351928,Funk-Soul,2015-03-04 00:45:37,Near Mint (NM or M-),Near Mint (NM or M-),
SST 044,Meat Puppets,In A Car,SST Records,"7"", EP, RE",,1985,368905,"Hard Core, Punk",2015-10-22 01:48:18,Near Mint (NM or M-),Very Good Plus (VG+),
SST 049,Meat Puppets,Out My Way,SST Records,"12"", EP",,1986,2767595,Alternative Rock,2015-10-16 07:27:38,Near Mint (NM or M-),Near Mint (NM or M-),
SST 100,Meat Puppets,Mirage,SST Records,"LP, Album",,1987,402895,Alternative Rock,2015-10-16 07:25:16,Near Mint (NM or M-),Near Mint (NM or M-),
SST 103,Opal (2),Happy Nightmare Baby,SST Records,"LP, Album",,1987,658713,Indie Rock,2015-10-16 02:43:15,Near Mint (NM or M-),Near Mint (NM or M-),
SST 253,Meat Puppets,Monsters,SST Records,"LP, Album",,1989,1333333,Indie Rock,2015-10-16 07:23:33,Near Mint (NM or M-),Near Mint (NM or M-),
SCONC 004,Cult Hero,I'm A Cult Hero,Stampa Alternativa,"7"", Unofficial, Single",,1988,559845,New Wave,2015-03-17 04:04:33,Near Mint (NM or M-),Near Mint (NM or M-),
STX 4130,Bar-Kays,Gotta Groove,Stax,"LP, Album, RE",,1979,801895,Funk-Soul,2015-10-13 12:50:51,Near Mint (NM or M-),Near Mint (NM or M-),
SCD-88012-2,Mavis Staples,Mavis Staples/Only For The Lonely,"Stax, Volt","CD, Comp, RM",,1993,4681790,Funk-Soul,2015-03-04 01:02:15,Near Mint (NM or M-),Near Mint (NM or M-),
DEV 2,Devo,(I Can't Get Me No) Satisfaction,Stiff Records,"7""",,1978,2885383,New Wave,2015-10-22 09:25:54,Very Good Plus (VG+),Very Good (VG),
PC 6182,Ian Dury,Sex & Drugs & Rock & Roll,Stiff Records,"12"", Promo",,1978,4149681,Punk,2015-09-08 01:07:39,Near Mint (NM or M-),Very Good Plus (VG+),
SFPS 002,The Damned,The Peel Sessions,Strange Fruit,"12""",,1986,1203796,Uncategorized,2015-09-28 08:31:31,Near Mint (NM or M-),Near Mint (NM or M-),
SFPS 018,The Specials,The Peel Sessions,Strange Fruit,"12""",,1987,921170,Uncategorized,2015-10-05 10:18:52,Near Mint (NM or M-),Near Mint (NM or M-),
ELCST 1984,Various,Street Sounds UK Electro,Street Sounds,"LP, Comp, Mixed",,1984,27082,Uncategorized,2015-09-11 08:03:57,,,
SP 94,Thin White Rope,Ants Are Cavemen b/w Little Doll,Sub Pop,"7"", Mau",,1991,880010,Alternative Rock,2015-10-22 02:29:51,Mint (M),Near Mint (NM or M-),
SP18,Mudhoney,Touch Me I'm Sick b/w Sweet Young Thing Ain't Sweet No More,Sub Pop,"7"", Single, RE, Sec",,1988,1194655,Alternative Rock,2015-10-21 09:23:53,Near Mint (NM or M-),Near Mint (NM or M-),
SP33,Mudhoney,You Got It (Keep It Outta My Face) b/w Burn It Clean,Sub Pop,"7"", Single",,1989,774346,Alternative Rock,2015-10-21 09:42:05,Near Mint (NM or M-),Near Mint (NM or M-),
SUB 27,Code Of Honor / Sick Pleasure,Fight Or Die / Dolls Under Control,Subterranean Records,LP,,1982,581602,Uncategorized,2015-09-19 07:44:57,Near Mint (NM or M-),Near Mint (NM or M-),First issue with a black and white sleeve. WITH INSERT OF SUBTERRANEAN RECORDS
508 100-1,Caterina Caselli,Amada Mia,Sugar Music,"LP, Album",,1990,3851871,Pop,2015-04-14 07:01:36,Near Mint (NM or M-),Near Mint (NM or M-),
"SUN NP 01, SUN NP 10","Elvis Presley, Scotty Moore And Bill Black (2) / The Million Dollar Quartet",That's All Right Mama / Down By The Riverside,"Sun (9), Sun (9)","7"", Mono",,1989,3875741,Pop,2015-03-18 01:14:03,Near Mint (NM or M-),Near Mint (NM or M-),
SBMCW5505,Blossom Toes,We Are Ever So Clean,Sunbeam Records,"CD, Album, Ltd, RE, RM, Del",,2007,4403496,Pop-Rock,2015-03-04 02:14:56,Near Mint (NM or M-),Near Mint (NM or M-),
BLUE 006X,The Bluetones,Marblehead Johnson,Superior Quality Recordings,"7"", Single, Ltd",,1996,514355,Alternative Rock,2015-10-22 08:30:18,Mint (M),Near Mint (NM or M-),
SF 005,Weimar Gesang,The Colours Of Ice,Supporti Fonografici,"12"", EP",,1985,907030,New Wave,2015-10-15 03:28:35,Near Mint (NM or M-),Near Mint (NM or M-),
SFTRI 232,Bad Religion,American Jesus,Sympathy For The Record Industry,"7""",,1993,6665423,Punk,2015-10-21 10:17:32,Near Mint (NM or M-),Near Mint (NM or M-),
SM 23581,Sphinx (2),Collision,System Music,"12""",,1982,299751,Italodisco,2015-09-08 09:22:26,Near Mint (NM or M-),Near Mint (NM or M-),
534 487-2,United Future Organization,3rd Perspective,"Talkin' Loud, Brownswood Records","CD, Album",,1996,13785,Acid Jazz,2015-03-04 04:31:53,Near Mint (NM or M-),Near Mint (NM or M-),
TSP 34030,The Temptations,Puzzle People,Tamla Motown,"LP, Album",,1970,4827250,Funk-Soul,2015-10-14 00:39:30,Near Mint (NM or M-),Near Mint (NM or M-),
"TSM-ST 60127, M6-861S1",Diana Ross,Diana Ross,"Tamla Motown, Tamla Motown","LP, Album",,1976,4850636,Funk-Soul,2015-09-09 05:52:11,Near Mint (NM or M-),Very Good Plus (VG+),
TTAL 1409,Vasco Rossi,Le Canzoni D'Amore Di Vasco Rossi,Targa,"LP, Comp",,1985,1634114,Pop,2015-04-14 07:22:21,Near Mint (NM or M-),Near Mint (NM or M-),NO POSTER
TEENS 038,The Cavemen (11),Il Buio E' Tra Di Noi,Teen Sound Records,"CD, Album",,2006,6524698,Funk-Soul,2015-03-05 23:44:44,Near Mint (NM or M-),Near Mint (NM or M-),
T-107,Deep Purple,The Book Of Taliesyn,Tetragrammaton Records,"LP, Album",,1968,1314878,Hard Rock,2015-10-14 01:11:46,Very Good Plus (VG+),Good (G),
HEAT 2,This Heat,Deceit,These Records,"LP, Album, RE",,1988,805064,Alternative Rock,2015-10-08 07:14:45,Near Mint (NM or M-),Very Good Plus (VG+),
88691 95993 2,Jack White (2),Blunderbuss,"Third Man Records, Columbia","CD, Album",,2012,3563360,Rock,2015-03-03 04:50:04,Near Mint (NM or M-),Near Mint (NM or M-),
TOR45004,Magilla (2),Atto Unico,Torello Records,"7"", Single",,1996,3818463,New Wave,2015-10-22 00:50:31,Mint (M),Near Mint (NM or M-),
TOTÒ 03/40,Rivolta Dell'Odio,Il Cuore Della Bestia,Totò Alle Prese Coi Dischi,"7"", Ora",,1984,1449945,Goth-Rock,2015-10-22 09:14:15,Mint (M),Near Mint (NM or M-),
N. 1,Fields Of The Nephilim,Burning The Fields EP,Tower Release,"12"", EP, RE",,1987,381429,Goth-Rock,2015-09-22 01:17:36,Near Mint (NM or M-),Near Mint (NM or M-),
AD 2067,The Artwoods,Begin Here,Traces Records,"LP, Album",,0,3498593,Rock,2015-10-14 02:50:52,Mint (M),Mint (M),
51019-1,Social Distortion,Mommy's Little Monster,Triple X Records,"LP, Album, RE",,1989,1886083,Punk,2015-09-20 10:37:30,Near Mint (NM or M-),Near Mint (NM or M-),WITH INSERT
ZPLS 34009,Gianfranco Manfredi,Zombie Di Tutto Il Mondo Unitevi,Ultima Spiaggia,"LP, Album",,1977,4635457,POP ITALIANO,2015-10-21 08:17:54,Near Mint (NM or M-),Near Mint (NM or M-),
SPLK-7005,The Trammps,The Legendary Zing Album,"Unidisc, Kama Sutra","CD, Album",,1991,3983850,Funk-Soul,2015-03-04 03:27:48,Near Mint (NM or M-),Near Mint (NM or M-),
LBF 15443,War,Sun Oh Son,United Artists Records,"7""",,1971,560075,Funk-Soul,2015-04-17 02:40:16,,,
171 421 1,Amy Winehouse,Back To Black,"Universal Records, Island Records Group","CD, Album, Sup",,2006,1024172,Pop,2015-03-04 01:48:21,Near Mint (NM or M-),Near Mint (NM or M-),
VAMPI CD 078,Dennis Coffey,Big City Funk (Original Old School Breaks & Heavy Guitar Soul),Vampi Soul,"CD, Comp",,2006,1080810,Funk-Soul,2015-03-04 02:19:13,Near Mint (NM or M-),Near Mint (NM or M-),
VSD-79290,Buddy Guy,This Is Buddy Guy,Vanguard,"LP, Album, RE",,1987,2099381,bLUES,2015-10-14 05:46:57,Near Mint (NM or M-),Near Mint (NM or M-),
"1-90904, 7 90904-1",David Sylvian + Holger Czukay,Plight & Premonition,"Venture, Venture, Virgin, Virgin","LP, Album",,1988,603139,New Wave,2015-09-08 03:24:27,Near Mint (NM or M-),Near Mint (NM or M-),
5000 675,Dire Straits,Solid Rock (Live) / Two Young Lovers / Intro: The Carousel Waltz,Vertigo,"7"", Single, Promo",,1984,2749873,Rock,2015-04-17 04:09:45,Near Mint (NM or M-),Near Mint (NM or M-),
0602517448056,Ramp (3),Come Into Knowledge,Verve Records,"CD, Album, RE, Dig",,2007,1752640,Funk-Soul,2015-03-03 04:46:57,Near Mint (NM or M-),Near Mint (NM or M-),
422-825 119-1 Y-1,The Velvet Underground,White Light/White Heat,Verve Records,"LP, Album, RE",,1985,1681506,Rock,2015-10-07 07:42:04,Near Mint (NM or M-),Near Mint (NM or M-),
557 492-2,Dizzy Gillespie,Jambo Caribe,Verve Records,"CD, Album, RE, RM, Dig",,1998,811070,Funk-Soul,2015-03-03 04:39:45,Near Mint (NM or M-),Near Mint (NM or M-),
710 003,The Mothers,Freak Out!,Verve Records (2),"LP, Album, Unofficial",,0,4858059,Rock,2015-09-20 07:05:27,Mint (M),Mint (M),
KLVP 180,Louis Armstrong,Back O' Town Blues,"Vik, RCA","LP, Mono",,1966,5945894,Jazz,2015-09-08 12:39:28,Near Mint (NM or M-),Near Mint (NM or M-),
206 917-270,Genesis,Nursery Cryme,Virgin,"LP, Album, RE, Gat",,1985,1982817,Prog-Rock,2015-10-14 05:06:06,Near Mint (NM or M-),Near Mint (NM or M-),
BMSX 1CD,Banco Del Mutuo Soccorso,Da Qui Messere Si Domina La Valle,Virgin,"2xCD, Comp + Box, Ltd, Num",,1991,2485379,Prog-Rock,2015-03-03 04:21:14,Near Mint (NM or M-),Near Mint (NM or M-),
OVED 51,Public Image Limited,The Flowers Of Romance,Virgin,"LP, Album, RE",,0,2750319,Punk,2015-10-05 10:04:59,Very Good Plus (VG+),Very Good Plus (VG+),
V 2366,Public Image Limited,Album,Virgin,"LP, Album",,1986,4531875,New Wave,2015-10-15 06:33:18,Near Mint (NM or M-),Near Mint (NM or M-),
V 2433,Warren Zevon,Sentimental Hygiene,Virgin,"LP, Album",,1987,3529655,Folk-Rock,2015-10-07 07:31:26,Near Mint (NM or M-),Near Mint (NM or M-),
VIL 12183,Public Image Limited,Paris Au Printemps (Paris In The Spring),Virgin,LP,,1980,1068582,New Wave,2015-10-15 08:40:47,Near Mint (NM or M-),Near Mint (NM or M-),
VIL 12241,Devo,"Oh, No! It's Devo",Virgin,"LP, Album",,1982,5704584,Electronic,2015-09-20 00:02:25,Near Mint (NM or M-),Near Mint (NM or M-),
VIN 45121,Giorgio Moroder With Philip Oakey,Together In Electric Dreams,Virgin,"7""",,1984,2431282,Pop,2015-04-17 03:39:40,Near Mint (NM or M-),Near Mint (NM or M-),
VIN 45189,Sandra,Little Girl,Virgin,"7""",,1986,5368223,Pop,2015-04-17 04:22:51,Near Mint (NM or M-),Near Mint (NM or M-),
VS  536-12,Devo,Peek-A-Boo!,Virgin,"12""",,1982,378511,Electronic,2015-09-20 00:04:31,Near Mint (NM or M-),Near Mint (NM or M-),
VUSLP 14,Ryuichi Sakamoto,Beauty,Virgin,LP,,1990,4894483,Electronic,2015-09-11 05:10:27,Mint (M),Mint (M),GREAT COPY UNPLAYED FROM RECORD SHOP
7 88073 2,CCCP - Fedeli Alla Linea,Epica Etica Etnica Pathos,Virgin Dischi S.p.A.,"CD, Album, RE",,0,982479,New Wave,2015-04-17 10:58:46,Near Mint (NM or M-),Near Mint (NM or M-),
CGS 1,Genesis,The Lamb Lies Down On Broadway,"Virgin, Charisma","2xLP, Album, RE, Gat",,1986,4237997,Prog-Rock,2015-09-08 05:52:18,Mint (M),Mint (M),UNPLAYED COPY
"7243 8 44913 2 1, CD HUT 45",The Verve,Urban Hymns,"Virgin, Hut Recordings","CD, Album",,1997,368250,Indie Rock,2015-03-03 04:51:09,Near Mint (NM or M-),Near Mint (NM or M-),
"CDV2731, 7243-8-39524-2-7",The Rolling Stones,Exile On Main St.,"Virgin, Virgin, Rolling Stones Records","CD, Album, RM",,1994,476440,Rock,2015-03-04 04:04:36,Near Mint (NM or M-),Near Mint (NM or M-),
"VOLX1, VOLX 1",Orbital,Belfast/Wasted (The Best Of Volume EP),"Volume, Volume","12"", EP",,1995,109835,Industrial,2015-10-16 04:04:21,Near Mint (NM or M-),Near Mint (NM or M-),
Voxx 200.044,The Steppes,Drop Of The Creature,Voxx Records,LP,,1986,2195819,Garage-Punk,2015-10-05 08:16:24,Near Mint (NM or M-),Near Mint (NM or M-),
VXS 200.022,Things (2),Coloured Heaven,Voxx Records,"LP, Album",,1984,2944685,Garage-Punk,2015-10-05 07:30:24,Near Mint (NM or M-),Near Mint (NM or M-),
VXS 200.025,The Gravedigger V,All Black And Hairy,Voxx Records,"LP, Album",,1984,1515660,Garage-Punk,2015-09-28 08:27:03,Near Mint (NM or M-),Near Mint (NM or M-),
VXS 200.033,Things (2),Outside My Window,Voxx Records,LP,,1986,3303554,Garage-Punk,2015-10-05 07:33:32,Near Mint (NM or M-),Near Mint (NM or M-),
VXS 200.034,The Primates (5),We Are The Primates,"Voxx Records, Epitaph","LP, Album",,1986,3261839,Garage-Punk,2015-09-29 08:18:42,Near Mint (NM or M-),Near Mint (NM or M-),
"VXS 200.004, VOXX VXS 200.004",DMZ (2),Relics,"VOXX Records, VOXX Records","LP, Comp",,1981,1329041,Garage-Punk,2015-09-20 08:08:05,Near Mint (NM or M-),Near Mint (NM or M-),
7599-23696-2,Donald Fagen,The Nightfly,Warner Bros. Records,"CD, Album, RE",,0,1622518,Rock,2015-03-04 04:42:44,Near Mint (NM or M-),Near Mint (NM or M-),
92 9693-7,ZZ Top,Gimme All Your Lovin' / If I Could Only Flag Her Down,Warner Bros. Records,"7"", Single",,1983,3473933,Hard Rock,2015-03-17 04:14:01,Near Mint (NM or M-),Very Good Plus (VG+),
9362 45334-2,The Flaming Lips,Transmissions From The Satellite Heart,Warner Bros. Records,"CD, Album",,1993,392545,Rock,2015-03-04 00:18:33,Near Mint (NM or M-),Near Mint (NM or M-),
9362 45431-1,Prince,The Hits 1,Warner Bros. Records,"2xLP, Comp",,1993,812431,Funk-Soul,2015-09-08 02:24:51,Mint (M),Mint (M),UNPLAYED COPY
P-343W,Devo = Devo,サティスファクション = (I Can't Get No) Satisfaction,Warner Bros. Records,"7"", Single",,1978,2879653,New Wave,2015-10-21 09:27:35,Near Mint (NM or M-),Near Mint (NM or M-),
P-589W,Devo,Girl U Want,Warner Bros. Records,"7""",,1980,6048658,New Wave,2015-10-21 09:59:47,Near Mint (NM or M-),Near Mint (NM or M-),
W 66097,Fleetwood Mac,Live,Warner Bros. Records,"2xLP, Album",,1980,839037,Rock,2015-09-08 06:05:12,Near Mint (NM or M-),Near Mint (NM or M-),
WBS 49834,Devo,Beautiful World,Warner Bros. Records,"7"", Single",,1981,1580235,New Wave,2015-10-22 09:23:14,Near Mint (NM or M-),Very Good Plus (VG+),
WATER 142,Baby Huey,The Baby Huey Story - The Living Legend,Water,"CD, Album, RE",,2004,583917,Funk-Soul,2015-03-04 00:29:54,Near Mint (NM or M-),Near Mint (NM or M-),
WAX 7121,Chris & Cosey,Reflection,Wax Trax! Records,"LP, Comp",,1990,138588,Industrial,2015-10-15 06:10:52,Near Mint (NM or M-),Near Mint (NM or M-),
24 0883-1,Loretta Goggi,Le Più Belle Canzoni Di Loretta Goggi,WEA,"LP, Comp",,1986,4216237,Pop,2015-04-15 06:43:23,Near Mint (NM or M-),Near Mint (NM or M-),
24 2228-1,Alan Sorrenti,Bonno Soku Bodai,WEA,"LP, Album",,1987,1672007,Pop,2015-04-14 04:56:34,Near Mint (NM or M-),Near Mint (NM or M-),
GOES ON 6,The Eastern Dark,Long Live The New Flesh !,What Goes On Records,"12"", MiniAlbum",,1986,1954569,Alternative Rock,2015-09-22 09:21:32,Near Mint (NM or M-),Near Mint (NM or M-),
WRMS 007,The Leather Nun,Desolation Ave,Wire Records,"12"", EP",,1985,369818,Industrial,2015-09-21 07:19:32,Near Mint (NM or M-),Near Mint (NM or M-),
WRXS 009,The Leather Nun,Gimme Gimme Gimme! (The Rejected Version),Wire Records,"12""",,1986,369816,Alternative Rock,2015-10-20 08:40:30,Near Mint (NM or M-),Near Mint (NM or M-),
ZR0107,Klein & M.B.O.,Dirty Talk,Zanza Records,"12"", MiniAlbum",,1982,5283330,Italodisco,2015-09-11 03:38:00,Near Mint (NM or M-),Near Mint (NM or M-),
ZAP 2,Forest (4),Forest,Zap!,"LP, Album, RE",,1987,3153280,Folk-Rock,2015-09-21 08:07:52,Near Mint (NM or M-),Near Mint (NM or M-),
ZAP 3,Forest (4),The Full Circle,Zap!,"LP, Album, RE",,1988,2536183,Folk-Rock,2015-09-21 08:11:25,Near Mint (NM or M-),Near Mint (NM or M-),
ZAPPA 6,Frank Zappa,Guitar,Zappa Records,"2xLP, Album",,1988,2137552,Rock,2015-09-12 01:11:00,Near Mint (NM or M-),Near Mint (NM or M-),
